Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Secondary1,Tail.Length
73.2,54.1,6.6,10.2,71.7,184.5,109,29.8
22.5,16.4,2.5,1.8,7.3,81.5,30.5,49.9
69,60.6,30.3,52.1,36.1,362,197.1,376.3
134.2,115.1,34.8,54.1,41.5,341,303.5,269.6
19.8,11.2,3.5,4.5,27.5,84.3,67.7,67.4
10.1,5.8,2.9,4,17.8,60.2,47.8,44.2
126.4,2,4.7,5.8,67,0.1,0.1,0.1
139.1,6.3,4.9,5.6,74.9,0.1,0.1,0.1
140.6,4.3,4.3,4.5,64,0.1,0.1,0.1
85.3,2,3.3,3.6,59.6,0.1,0.1,0.1
157,2.4,4.7,5.3,84,0.1,0.1,0.1
45.7,28.9,16.2,23.7,93.2,486.8,305,260
12.5,7.8,2.7,3.8,19.1,58.5,51.2,66.6
13.9,8.5,4.9,6.5,23.8,67.1,59.6,71
65.4,35.2,14.5,17.6,201,543.4,353.2,258.2
13.1,7.9,3.7,4.3,18.3,79.4,64.3,52.7
13.3,6.9,4.8,3.8,15.5,63.9,54.6,54.9
19.7,12.1,5.2,5.6,16.5,112.2,68.2,122
29,15.9,4.2,5.6,30.9,173,78.6,63
26.4,17.8,6.7,6.5,20.5,109.2,89.8,65.8
65.9,37.6,14.9,18.3,205.8,357.1,320.3,296.4
14.1,8.6,5.5,6.9,18.1,93.6,55,56.2
50.4,25.2,13.1,15.4,49,485.8,351.1,240.4
47.8,28.4,6.4,11,35.5,192.2,111.3,52.8
8.9,3.7,4.1,2.6,13,116.8,42.7,43
16.4,10.7,1.7,1.5,6,67.6,25.1,50.6
20.5,16.6,9.5,12.5,14.8,114.4,62.5,117
40.1,21,18,14.7,72.5,412.2,226.2,138.2
184.5,145.7,16.6,27.4,192.6,529.5,300.2,235.6
24.8,18.7,3.8,3.4,17.2,60.1,50.6,39.2
12,7,2.2,2.7,17.7,49.8,43.7,39.8
37.1,27.9,2.4,2.5,6.3,80.1,29.2,54.2
49.5,39.9,11,10.2,29.8,167.2,132.3,122.8
13.6,9.3,6.9,7.9,20.8,86.9,62.3,208.3
44.8,30.4,13.2,17.7,23.6,183,137,134.5
26,12.3,8.1,13.4,39,208.2,178.8,244.1
29.6,9,4.6,5.8,51.2,136,126,54.2
24.8,16.4,6,6.2,23.6,96.8,77.4,78.5
63.4,52.7,5.8,7,27.7,120.8,102.2,118.8
19.5,16,5.9,5.8,18,102.2,76.7,70.8
27,14.7,6.6,6.3,31.1,234,160.8,145.5
56.1,36.1,16,25.7,28,97.8,91.7,84.5
32.1,16.8,8.9,10,88.2,322.8,205.8,146
62.7,41,3,8.7,49,216.5,176.2,142.3
18.4,11.9,8.9,10.2,35.7,188.6,95.7,126.6
36,22,16.3,19.2,56.7,368,193.2,201.8
13.2,7.9,2.8,2.7,16.9,52,46.8,53.7
